"動畫名","總觀看數","平均觀看數","年份","月份","集數","星級","評分人數","導演監督","製作廠商","作品分類1","作品分類2","作品分類3","作品分類4","作品分類5","作品分類6","原作載體","新續作"
"比方說，這是個出身魔王關附近的少年在新手村生活的故事",2441000,203417,"2021","冬番",12,"4.3",3076,"migmi","LIDENFILMS","冒險","奇幻","魔法",NULL,NULL,NULL,"小說改編","新作"
"SK8 the Infinity",1559000,129917,"2021","冬番",12,"4.9",3825,"内海紘子","BONES","動作","青春","運動","競技",NULL,NULL,"原創作品","新作"
"GIBIATE 獵魔武士",290000,22308,"2020","夏番",13,"1.8",655,"小美野雅彥","ランチ・BOX×スタジオエル","動作","冒險","靈異神怪",NULL,NULL,NULL,"原創作品","新作"
"淘氣貓 2020：家有圓圓？！我家的圓圓你知道嗎～",192000,17455,"2020","冬番",11,"4.9",616,"松田清","MAPPA、Lapintrack","溫馨","闔家觀賞",NULL,NULL,NULL,NULL,"原創作品","新作"
"Re：從零開始的異世界生活 第二季",11739000,469560,"2020","夏番",25,"4.9",14370,"渡邊政治","WHITE FOX","動作","冒險","奇幻","異世界","魔法",NULL,"小說改編","續作"
"魔法律事務所 第二季",250000,20833,"2020","夏番",12,"4.6",289,"近藤信宏","STUDIO DEEN","奇幻","魔法","靈異神怪",NULL,NULL,NULL,"漫畫改編","續作"
"裏世界遠足",564000,47000,"2021","冬番",12,"4.5",1508,"佐藤卓哉","LIDENFILMS、FelixFilm","冒險","異世界","懸疑","靈異神怪",NULL,NULL,"小說改編","新作"
"2.43 清陰高中男子排球社",363000,30250,"2021","冬番",12,"4",509,"木村泰大","david production","校園","青春","運動",NULL,NULL,NULL,"小說改編","新作"
"怪病醫拉姆尼",578000,48167,"2021","冬番",12,"4.7",1216,"大庭秀昭","Platinum Vision","奇幻","喜劇","懸疑",NULL,NULL,NULL,"漫畫改編","新作"
"天地創造設計部",877000,67462,"2021","冬番",13,"4.8",2229,"增井壯一","旭Production","超能力","喜劇","職場",NULL,NULL,NULL,"漫畫改編","新作"
"蒼之騎士團",300000,25000,"2021","冬番",12,"4.1",436,"西片康人","LIDENFILMS","冒險","奇幻",NULL,NULL,NULL,NULL,"遊戲改編","新作"
"非槍人生 NO GUNS LIFE 第二季",351000,29250,"2020","夏番",12,"4.6",517,"伊藤尚往","MADHOUSE","動作","科幻",NULL,NULL,NULL,NULL,"漫畫改編","續作"
"憂國的莫里亞蒂 第一季",876000,79636,"2020","夏番",11,"4.9",2200,"野村和也","Production I.G","推理","懸疑",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"EX-ARM",99000,8250,"2021","冬番",12,"1.5",1047,"木村好克","ビジュアルフライト","動作","科幻",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"舞伎家的料理人",248000,20667,"2021","冬番",12,"4.9",1068,"鈴木洋平","J.C.STAFF","溫馨","料理","闔家觀賞",NULL,NULL,NULL,"漫畫改編","新作"
"魔術士歐菲 流浪之旅 基姆拉克篇",119000,10818,"2021","冬番",11,"3.6",170,"濱名孝行","STUDIO DEEN","冒險","奇幻",NULL,NULL,NULL,NULL,"小說改編","續作"
"PUI PUI 天竺鼠車車",2110000,87917,"2021","冬番",24,"4.8",5763,"見里朝希","新銳動畫、Green-hearts","喜劇","溫馨","悠閒","泡麵番","闔家觀賞",NULL,"原創作品","續作"
"堀與宮村",5394000,414923,"2021","冬番",13,"4.9",15437,"石濱真史","CloverWorks","校園","戀愛","青春",NULL,NULL,NULL,"漫畫改編","續作"
"成群結伴！西頓學園",962000,80167,"2020","冬番",12,"4.8",2174,"博史池畠","Studio 五組","校園","喜劇",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"轉生成女性向遊戲只有毀滅 END 的壞人大小姐",2109000,175750,"2020","春番",12,"4.9",4714,"井上圭介","SILVER LINK.","異世界","喜劇","戀愛",NULL,NULL,NULL,"小說改編","新作"
"遊戲王! SEVENS",14000,280,"2020","春番",50,"4.3",78,"近藤信宏","Bridge","勵志","競技","闔家觀賞",NULL,NULL,NULL,"漫畫改編","新作"
"棒球大聯盟 2nd 第二季",857000,34280,"2020","春番",25,"4.8",516,"渡邊步","OLM","青春","運動","競技","闔家觀賞",NULL,NULL,"漫畫改編","續作"
"排球少年！！第四季",4012000,308615,"2020","冬番",13,"4.9",5101,"佐藤雅子","Production I.G","校園","勵志","運動",NULL,NULL,NULL,"漫畫改編","續作"
"IDOLiSH7 - 偶像星願 - Second BEAT！",557000,37133,"2020","春番",15,"4.9",1175,"別所誠人","TROYCA","偶像","音樂",NULL,NULL,NULL,NULL,"遊戲改編","續作"
"白貓 Project Zero Chronicle 零之紀元",528000,44000,"2020","春番",12,"3.8",834,"神保昌登","Project No.9","冒險","奇幻","魔法",NULL,NULL,NULL,"遊戲改編","新作"
"天地無用！魎皇鬼 第 5 期",103000,17167,"2020","冬番",6,"4.8",200,"梶島正樹、元永慶太郎","AIC","科幻","戀愛",NULL,NULL,NULL,NULL,"原創作品","續作"
"異世界四重奏 第二季",1326000,110500,"2020","冬番",12,"4.9",2565,"芦名みのる","STUDIO PUYUKAI","校園","喜劇",NULL,NULL,NULL,NULL,"原創作品","續作"
"座敷童子塌塌米醬",78000,6500,"2020","春番",12,"4.2",199,"押切蓮介","ZERO-G","喜劇","靈異神怪","泡麵番",NULL,NULL,NULL,"原創作品","新作"
"小書痴的下剋上：為了成為圖書管理員不擇手段！第二季",1430000,119167,"2020","春番",12,"4.9",3100,"本郷みつる","亞細亞堂","奇幻","異世界","勵志",NULL,NULL,NULL,"小說改編","續作"
